Name,Website,Email,sent?
Anson Customs Broker Inc.,ansoncustoms.ca,ansoncustomsbroker@gmail.com,
Apaceway Inc.,apaceway.com,info@apaceway.com,
Apex Customs Brokers Inc.,apexcustomsbrokers.com,info@apexcustomsbrokers.com,
Argo Business Corp.,argocustoms.com,info@argocustoms.com,
Arrival Customs Brokers Ltd.,arrival.ca,info@arrival.ca,
Art Freight Logistics Inc.,artfreight.ca,olena@artfreight.ca,
Asky Customs Brokers Ltd.,Not applicable,info@asky.ca,
ASR Customs Consulting & Brokerage Inc.,Not applicable,customs@asrcargo.com,
ATG Customs Brokers Inc.,Not applicable,info@atgcustoms.ca,
Atlantic Ex-Works Inc,shipeasy.ca,info@atlanticexworks.com,
Atlantic Pacific Customs Brokers Inc.,www.apcb.ca,customs.sales@apcb.ca,
,,customs.clearance@apcb.ca,
,,ca098-customs.clearance@medlog.com,
,,alexander.zenetzis@apcb.ca,
Axxess International Inc.,axxessintl.com,Not applicable,
B & B Custom House-Brokerage Company Ltd.,bbcustomhouse.ca,bbc@bbcustomhouse.ca,
B'Pal International Customs Brokers Ltd.,Not applicable,customs@bicb.ca,
B. Zee Brokerage Ltd.,bzeebrokerage.com,info@bzeebrokerage.com,
Bay Brokerage Inc.,baybrokerageinc.com,release@baybrokerageinc.com,
Bay City Brokers,baycitybrokers.com,operations@baycitybrokers.com,
BBE Expediting International Ltd.,bbe.ca,customs@bbe.ca,
BDP Canada Customs Brokerage Corp.,bdpinternational.com,customs.canada@bdpint.com,
"BDP Canada, ULC",psabdp.com,customs.canada@bdpint.com,
Beaver Brokerage Inc.,beaverbrokerage.com,clearit@beaverbrokerage.com,
Ben Line Agencies (Canada) Ltd. dba Pac Ocean Logistics,pac-ocean.com,customs.ca@pac-ocean.com,
BGL Brokerage (West) Ltd.,bglwest.com,mbarriere@bglwest.com,
BGL Brokerage Ltd.,bglbrokerage.com,info@bglbrokerage.com,
BI Logistics Services Inc.,bilsi.com,customs@bilsi.com,
Bin Hu,bchouse.org,info@bchouse.org,
O/A B & C House,,,
Border Bee Customs Brokers Inc.,borderbee.com,cory@borderbee.com,
Border Brokers Inc.,borderbrokers.com,reception@borderbrokers.com,
Border Giant Inc. o/a Border Giant,bordergiant.com,info@bordergiant.com,
BorderBuddy Technologies Inc.,borderbuddy.com,service@borderbuddy.com,
o/a BorderBuddy Customs Brokers,,,
Bridge Logistics Group Inc.,Not applicable,sales@bridge-log.ca,
Bridgeview Customs Brokers Ltd.,bridgeviewbrokers.ca,mail@bridgeviewbrokers.com,
,,tom@bridgeviewbrokers.com,
Bridgewood Customs Brokerage Services Inc.,bridgewoodcb.com,info@bridgewoodcb.com,
Buckland Customs Brokers Ltd.,buckland.com,info@buckland.com,
C.H. Robinson Worldwide Canada Ltd.,chrobinson.ca,Not applicable,
Calgary Customs Brokers Ltd.,ccb.ab.ca,ccb@ccb.ab.ca,
Canaan Transport Group Inc.,canaantransport.com,customs@canaantransport.com,
Canadian Customs Brokerage Services and Consulting Inc.,Not applicable,sales@ccbsinc.ca,
Canadian Customs Brokers Inc.,canadiancustomsbrokers.com,info@canadiancustomsbrokers.com,
Canadian Customs Consulting Inc.,ccustoms.com,ksaxton@ccustoms.com,
Canamex Customs Brokers Inc.,Not applicable,Not applicable,
Canus Logistics Ltd.,canuslogistics.com,opps@canuslogistics.com,
CANUSA Logistics Inc.,canusalogistics.com,lbond@canusalogistics.com,
Capital Customs Brokers,capitalcustoms.com,info@capitalcustoms.com,
Division of APEX Customs & Business Consultants Ltd.,,,
CargoWell Global Logistics Inc.,cargowell.ca,op@cargowell.ca,
Carolyn O'Neill,caroex.com,info@caroex.com,
Carson Customs Brokers Limited,carson.ca,info@carson.ca,
CEVA Air & Ocean Canada Inc.,cevalogistics.com,jason.delisle@cevalogistics.com,
CEVA Freight Canada Corp.,cevalogistics.com,CanadaYYZCustoms@cevalogistics.com,
Charter Brokerage Canada Corporation,charterbrokerage.net,Development@CharterBrokerage.net,
Claro Customs Inc.,clarocustoms.ai,ca@clarocustoms.ai,
Clear Customs Brokers Limited,clearcustomsbrokers.com,solutions@clearcustomsbrokers.com,
,,docs@clearcustomsbrokers.com,
Clearit Customs Brokers Inc.,clearit.ca,info@clearit.ca,
Clearsmith International Inc.,clearsmith.com,info@clearsmith.com,
Clerkware Canada Inc.,Not applicable,sales@clerkware.ca,
Clik Customs and Logistics Solutions Inc.,www.cliklogistics.com,customs@cliklogistics.com,
CN Customs Brokerage Services Inc.,cn.ca,customs_brokerage@cn.ca,
Coast Customs Brokers Inc.,coastcustomsbrokers.ca,service@coastcustomsbrokers.ca,
Coastbridge International Corporation,Not applicable,fdg.cbca@yahoo.com,
Coherent Trade & Customs Service Inc.,Not applicable,425087562@qq.com,
Cole International Inc.,coleintl.com,cheryl.murphy@coleintl.com,
Commercial Custom Brokers Inc.,ccbcanada.com,francis@ccbcanada.com,
,,kevin@ccbcanada.com,
Consultexpo Event Services Inc.,consultexpoinc.com,johns@consultexpoinc.com,
Continental Customs Brokerage Ltd.,continentalcustoms.ca,info@continentalcustoms.ca,
Corleen Consulting Corp.,www.corleen.ca,corey@corleen.ca,
Counselor Customs Brokers Ltd.,counselorcustoms.ca,info@counselorcustoms.ca,
Courtney Agencies Ltd.,courtney.ca,hello@courtney.ca,
Crane Worldwide Logistics Canada Corporation,craneww.com,Canada.customs@craneww.com,
Crest Customs Solutions Inc.,Not applicable,Not applicable,
Cross Connect Customs and Event Logistics Inc.,crossconnectcl.com,broker@crossconnectcl.com,
CrossBorder Solutions Inc.,crossborder.solutions,sales@crossborder.net,
Customs Hub Inc.,Not applicable,imports@customshub.ca,
Customs Trade Services Inc.,ctscompliance.com,ernie@ctscompliance.com,
CVL Custom Brokers & Freight Services Inc.,cvlcustoms.com,info@cvlcustoms.com,
D.H. Cargo International Ltd.,dhcargo.com,headoffice@dhcargo.com,
Data Parcel Express Incorporated o/a Geo Express International,geoexpressinternational.com,info@geoexpressinternational.com,
David Kirsch Customs Brokers Inc.,kirsch.ca,davidkirschcb@kirsch.ca,
Davidson & Sons Customs Brokers Ltd.,davidsonandsons.com,info@davidsonandsons.com,
Davidson Custom Brokers Limited,custombroker.cc,pdavidson@custombroker.cc,
,,sdavidson@custombroker.cc,
DeepClear Solution Inc.,Not applicable,customs@deepclear.ca,
Delmar International Inc.,delmar-group.com,info@delmar.ca,
DH Supply Chain Inc.,dhcbi.ca,info@dhcbi.ca,
"DHL Express (Canada), Ltd.",dhl.com,dhlcustomer.service.ca@dhl.com,
DHL Global Forwarding (Canada) Inc.,dhl-dgf.com,Not applicable,
DILAS International Ltd.,dilas.ca,yyc@dilas.ca,
Direct Customs & Solutions Inc.,direct-customs.com,info@direct-customs.com,
Dolbec Y. Logistique International Inc.,dolbec-intl.ca,dolbec@dolbec-intl.ca,
Dowbier Inc.,dowbier.com,customs@dowbier.com,
DSV Air & Sea Inc.,dsv.com,Not applicable,
DTS Advance Logistics Inc.,dtsadvance.com,customs@dtsadvance.com,
Dynamic Customs Brokers Inc.,dynamiccb.com,info@dynamiccb.com,
EAJ Customs Brokers Inc.,eaj.ca,elaine@eaj.ca,
,,bob@eaj.ca,
EDI Customs Brokers Inc.,edicb.com,Not applicable,
Elixir Custom Broker Inc.,elixircustoms.com,info@elixircustoms.com,
,elixircustoms.ca,info@elixircustoms.ca,
EMO North Customs Brokers Ltd.,emotrans-global.com,customs@emotrans-canada.com,
Encoast Expedite Corp.,Not applicable,encoastexpedite@gmail.com,
Epitome Supply Chain Solutions Inc.,epitomescs.com,Olufemi.ojelade@epitomescs.com,
Eshpre Global Inc.,eshpreglobal.com,customs@eshpreglobal.com,
ETC Customs Broker Inc.,Not applicable,doc@etccustoms.com,
Eurofret Canada Inc.,eurofret.com,contact@eurofret.com,
Expeditors Canada Inc.,expeditors.com,Not applicable,
Ezcustoms Inc.,ezcustoms.net,docs@ezcustoms.net,
F.A. International Inc.,Not applicable,customs@falogistics.com,
FCL Fisker Customs & Logistics Inc.,fisker.ca,christina@fisker.ca,
Federal Express Canada Corporation,fedex.com,Not applicable,
"FedEx Logistics Canada, Inc.",fedex.com,ftnc_mtlk21@ftn.fedex.com,
FFAF Customs Brokerage Ltd.,Not applicable,accounts@flyingfresh.ca,
FFL Customs Services Inc.,fflcsi.com,info@fflcsi.com,
Film Logic Customs Brokers Inc.,filmlogic.ca,service@filmlogic.ca,
Flexport Customs Canada Inc.,flexport.com,ca.brokers@flexport.com,
Fortune Customs Brokers Ltd.,Not applicable,fortunecustoms@hotmail.com,
Fraser Direct Logistics Ltd.,fraserdirect.net,customs@fraserdirect.ca,
Frederick W. Johnson Limited,www.fwjohnson.ca,fwj@cogeco.net,
Frontier Supply Chain Solutions Inc.,frontierscs.com,Info@Frontierscs.com,
Fyke Logistics Inc.,fyketrading.com,customs@fyketrading.com,
G4 Logistics Support Services Inc.,g4lss.com,customer.services@g4lss.com,
Garden City Customs Services Inc.,gcityservices.com,sales@gcityservices.com,
D.B.A. G C Customs Brokers,,,
Gateway Customs Broker & Transborder Services Inc.,gatewaycustomsbroker.com,info@gatewaycustomsbroker.com,
GCB Glover Customs Brokers Inc.,glovertrade.com,import@glovertrade.com ,
Genghis Khan Logistics Inc.,gk-logistics.com,info@gk-logistics.ca,
Geo. H. Young & Co. Ltd.,ghy.com,info@ghy.com,
Geodis FF Canada Ltd.,geodis.com ,customs_solutions.ff.ca@geodis.com,
Gestion douanière W2C Inc.,w2c.ca,ginette@w2c.ca,
Gestions Douanières ALB Inc.,albcie.com,info@albgroupe.com,
Girdlestone Brokerage Limited,girdlestonebrokerage.com,adam@girdlestonebrokerage.com,
Global Logistics Freight Solution Corp.,globallogisticsfreightsolutions.com,canadainfo@glfs-ltd.com,
Globco International Inc.,www.globco.com,alegault@globco.com,
Go Shipping Inc.,goshipping.ca,info@goshipping.ca,
,,joyce@goshipping.ca,
Golden Jet International Freight Forwarders,goldenjet.com ,cathyxu@goldenjet.com or,
,,goldenjet@goldenjet.com,
Goldline Global Logistics Inc.,goldlineglobal.com,sales@goldlineglobal.com,
Goudreau Cargo International,www.gciglobal.com,info@gciglobal.com,
Green Light Customs Broker Ltd.,greenlightcustomsbroker.ca/,karren.menil@greenlightcustomsbroker.ca,
GSLOGIX Inc.,gslogixinc.ca,info@gslogixcanada.com,
GTS Gateway Transportation Solutions,gtsgateway.com,info@gtsgateway.com,
H. Kennedy Inc.,h-kennedy.com,info@h-kennedy.com,
H.H. Smith Ltd.,hhsmithltd.com,service@hhsmithltd.com,
Happyroadex Ltd.,hr-ex.com,info@hr-ex.com,
Haptrans Holdings Ltd.,haptrans.com,customsclearance@haptrans.com,
Harmonized Solutions Inc.,harmonized.solutions,support@harmonized.solutions,
Harte & Lyne Limited,harte-lyne.ca,admin@harte-lyne.ca,
"Hartwick, O'Shea & Cartwright Limited",hocltd.com,info@hocltd.com,
Hellmann Worldwide Logistics Inc.,hellmann.net,customs-ca@hellmann.com,
Hemisphere Freight & Brokerage Services Inc.,hemispherebrokerage.com,employees@hfcan.com,
Hercules Forwarding Inc.,herculesfreight.com,Customs@herculesfreight.com,
Hodori Express Canada Inc.,hodoriexpress.ca,info@hodoriexpress.ca,
Homeland Customs Brokers Inc.,Not applicable,twong@homelandcb.ca,
Honda Trading Canada Inc.,hondatrading.ca,am_htc_brokerage@htc.honda.com,
IMAX Customs Broker Corporation,imaxcbsa.com,info@imaxcbsa.com,
Importation d'Auto Ricden Inc.,ricdenautoimport.com,richard@ricdenautoimport.com,
Importers Customs Solution Inc.,importerscustomssolution.ca,info@importerscustomssolution.ca,
Incan Customs Brokers Ltd.,http://www.iccb.ca/,info@iccb.ca,
Indigo Freight Services,Not applicable,chopping007@gmail.com,
Division of 1108856 Ontario Inc.,,,
Inland Customs Brokers Limited,inlandcustoms.com,Not applicable,
Intalink Freight Services Inc.,Intalink.ca,Info@Intalink.ca,
Integral Transportation Networks Corp.,itn-logistics.com,stevem@itn-logistics.com or,
,,manifest@itncustoms.com,
Integrated Customs Services Ltd.,iscsl.com,customs@iscsl.com,
Interglobal Logistics Inc.,interglobal-logistics.com,sales@interglobal-logistics.com,
International Trade Solutions Canada Inc.,Not applicable,itscanada@xport.ca,
,,itscanada@itscustoms.com,
J.B. Ellis & Co. Ltd.,jbellis.com,imports@jbellis.com,
J.J. Robertson Ltd.,Not applicable,kim@jjrobertson.com,
,,scott@jjrobertson.com,
J.W. Smith Customs Broker Ltd.,jwsmith.com,info@jwsmith.com,
Jack Rutherford Customs Broker Limited,therutherfordgroup.com,Not applicable,
Jaime Seidner,Not applicable,Not applicable,
JAS Forwarding Worldwide Inc.,jas.com,Not applicable,
JET Customs Services Inc.,jetcustomsinc.com,jetcustoms@cogeco.net,
JMD Customs Brokers Inc.,Not applicable,aj@jmdcustoms.com,
,,pars@jmdcustoms.com and,
,,ekta@jmdcorporation.com,
Jongkul Choi o/a Binex Customs,Not applicable,johnchoi@binexline.com,
Jori International Ltd.,jorilogistics.com,CACustoms@jorilogistics.com,
Journey Freight International Inc.,journeyfreight.com,Not applicable,
KDS Marketing Ltd.,kds-gl.com,hp.saltzmann@kds-gl.com,
D.B.A. KDS Global Logistics,,,
King Bros. Limited,kibro.com,brokers@kibro.com,
Kingsview Customs Brokers Inc.,kingsviewcustoms.com,info@kingsviewcustoms.com,
Kintetsu World Express (Canada) Inc.,kwe.ca,pars@kwe.com,
KLN Brokerage Services Canada Inc.,kln.com,ca.brokerage.info@kerrylogistics.com,
Korex Logistics Canada,korexlogistics.com,Not applicable,
Kuehne & Nagel,kn-portal.com,info.canada@kuehne-nagel.com,
Kugar International Ventures Corporation,kugarintl.com,info@kugarintl.com,
L.M. Clark Customs Broker Ltd.,lmclark.com,Not applicable,
L.V. Matthews Customs Broker Ltd.,lvmatthews.wix.com,lvmpars@telus.net,
Landmark Trade Services Ltd.,landmarktradeservices.com,ltscanada@landmarkglobal.com,
LCS Customs Brokers Inc.,lcslogistics.com,customs@lcslogistics.com,
Leo Shipping Agency Canada Inc.,leoshcanada.ca,abhi@leoshcanada.ca,
Les Entrepôts Intramodal Inc. Intramodal Warehouses Inc.,intramodal.ca,Not applicable,
Lily Customs Brokerage,lcustoms.com,broker@Lcustoms.com,
Link+ Corporation,custombroker.com,Not applicable,
D.B.A. Brown Customs Brokerage,,,
D.B.A. M.J. Gross,,,
D.B.A. H.M. Wakely,,,
Livingston International Inc.,livingstonintl.com,solutions@livingstonintl.com,
,,info@livingstonintl.com,
LivraQ Inc.,Not applicable,info@abnustras.ca,
LogisticNorth Inc.,logisticnorth.com ,rajesh@logisticnorth.com,
Logistics Link Inc.,logisticslink.ca,gp@logisticslink.ca,
M.E. & P.E. Samson Custom Brokers,Not applicable,samsonme@nb.aibn.com,
Maersk Logistics & Services Canada Inc.,maersk.com,Not applicable,
MainFreight Inc.,mainfreight.ca,stacey.mitchell@mainfreight.com,
Mantoria Inc.,mantoria.com,info@mantoria.com,
Maple Customs Brokers Inc.,Not applicable,julie.zhu@maplecustoms.com,
,,info@maplecustoms.com,
Maple First Customs & Logistics Brokerage Ltd.,Not applicable,info@maplefirst.ca,
Maple Lane Logistics Inc.,Not applicable,clearance@maplelanelogistics.com,
Mapleway Customs Services Inc.,Not applicable,info@maplewaycustoms.com,
Mathers Logistics Ltd.,ihmathers.com,docs@ihmathers.com,
,,customs@ihmathers.com,
Medlog Canada Inc.,medlog-canada.com,alexander.z@medlog.com,
Merchant Customs Brokers Limited,Not applicable,bfreitag@merchantcb.com,
Milestone Customs Brokers Inc.,milestonecustoms.com,customs@milestonecustoms.com,
MKMARIN Trade Services Inc.,mkmarin.com,info@mkmarin.com,
Mohamed Tariq Shaikh o/a Precision Customs Brokers,precisioncustoms.ca,info@precisioncustoms.ca,
,clearcargo.ca,info@clearcargo.ca,
Mohawk Global Logistics Canada ULC dba Mohawk Global,mohawkglobal.com,sdawkins@mohowkglobal.com,
NAAIL Customs Brokers Inc.,Not applicable,sshams@naailcustoms.com,
Naranstone Inc.,Not applicable,kez798@163.com,
Near North Customs Brokers Inc.,nearnorthcustoms.com/contact,djupp@nearnorthcustoms.com ,
Nexon Group Inc.,nexongroup.ca,operations@nexongroup.ca,
Nippon Express Canada Ltd.,nipponexpress.ca,Not applicable,
Noble Customs Brokers Inc.,www.noblecustoms.ca,import@noblecustoms.ca,
NoGlobalBorders Brokerage Inc.,noglobalborders.com,info@noglobalborders.com,
North American Logistics Services Inc.,nalsi.com,operations@nalsi.com,
Northex Customs Brokers Corp.,northex.ca,info@northex.ca,
Northland Logistics Inc.,northlandinc.ca,datkinson@northlandinc.ca,
Novalink Logistics Inc.,novalinklogistics.com,novalink@novalinklogistics.com,
NOX Customs Brokers Inc.,noxcustoms.ca,info@noxcustoms.ca,
Nu-Era Logistics Inc.,shipnuera.com,Not applicable,
Oakville Customs Brokerage (Reid & Dunn Limited),oakvillecustomsbrokerage.ca,pars@ocb.ca,
Omnitrans Inc.,omnitrans.com,Not applicable,
Orbit Brokers & Forwarders Inc.,orbitbrokers.ca,info@orbitbrokers.ca,
Otimo Customs Inc.,otimocustoms.com,info@otimocustoms.com,
P.F. Collins Customs Broker Limited,pfcollins.com,info@pfcollins.com,
P.S. Customs Broker Inc.,pscustoms.ca,info@pscustoms.ca,
Pacific Customs Brokers Ltd.,pcb.ca,info@pcb.ca,
Pantos Logistics Canada Inc.,pantos.ca,customs@pantos.ca,
Parbir Consulting Inc. o/a Parbir Customs Broker,parbir.com,customs@parbir.com,
Parkview Customs Brokerage Limited,parkviewcustoms.com,mail@parkviewcustoms.com,
Parkwood & Cavanaugh Ltd.,parcav.ca,christa@parcav.ca,
,,cody@parcav.ca,
Passport Cargo Inc.,passportcargo.com,info@passportcargo.com,
PCM Freight & Customs Brokers Inc.,pcmcustoms.com,info@pcmcustoms.com,
PDT Customs Brokers Ltd.,Not applicable,info@pdtcustoms.ca,
Percy H. Davis Limited,percydavis.com,info@percydavis.com,
Portside Consulting Corp.,Not applicable,Not applicable,
Portside Customs Brokers Ltd.,portsidecustomslogistics.com,Jeffrey.chang@portsidecustomslogistics.com ,
Precision Forwarders & Brokers Inc.,precisionbrokers.com,rcohen@precisionbrokers.com,
Preferred Service Customs Brokers Inc.,preferredservice.ca,info@preferredservice.ca,
PRG Global Inc.,Not applicable,g.p@prgglobal.ca,
Priority 1 Limited oa Priority Brokerage Services,prioritybrokerage.ca,info@prioritybrokerage.ca,
PTL Express Inc. dba PTL Customs Broker,Not applicable,customs@ptlexpress.ca,
Purolator Inc.,Not applicable,customsbrokerageteam@purolator.com,
"PWS Logistics Montreal, Inc. dba Priority Worldwide",priorityworldwide.com/ ,imports.ca@priorityworldwide.com,
,,LLevine@priorityworldwide.com,
R&R Customs Brokers Inc.,rrcustoms.ca,pars@rrcustoms.ca,
R. & W. Customs Brokers Ltd.,Not applicable,rwcb.mr@gmail.com,
Radiant Global Logistics (Canada) Inc.,Not applicable,customs@radiantdelivers.com,
Ramsay Logistics Ltd.,ramsaylogistics.com,imports@ramsaylogistics.com,
RHB Logistics Ltd.,rhblogistics.com,info@rhblogistics.com,
Rhenus Customs Brokers Ltd.,rhenus.group,asha.mahabir@rhenus.com,
Rimbosh Logistics Ltd.,rimlogistics.com,documents@rimbosh.ca,
,,wendyyuill@rimbosh.ca,
Rome Customs & Trade Inc.,romecustoms.com,info@romecustoms.com,
Rommel Pitpit dba Xceed Customs Brokers and Consulting Services,xceedcustoms.ca,info@xceedcustoms.ca,
"Runnin’ Red Transport, Inc. o/a RNR International",rnrintl.com,info@rnrintl.com,
Russell A. Farrow Limited,farrow.com,kristin.renaud@farrow.com,
,,patrick.noonan@farrow.com,
S.M. Hewitt (Sarnia) Limited,smhewitt.ca,shift@smhewitt.ca,
Sandhar Global Logistics Inc.,sandhartrucking.com,info@sandhartrucking.com,
Satinderpall Bains dba G&N Global Express,Not applicable,sbains@tradestarint.com,
Savino Del Bene Corp. (Canada),savinodelbene.com,customstoronto@savinodelbene.com,
SC Integrators Inc.,scintegrators.ca,info@scintegrators.ca,
Schenker of Canada Limited,dbschenker.com/ca,schenkercustoms.cs@dbschenker.com,
SCS Customs Brokers Inc.,Not applicable,mahbubscs@gmail.com,
Sea Air International Forwarders Limited,seaair.ca,Not applicable,
Seamont Brokerage & Transport Ltd.,seamontbt.com,seamont@seamontbt.com,
SECAM International Inc.,secam.ca,info@secam.ca,
Shamrock Customs Brokers Inc.,Not applicable,kevinohearn.shamrock@bellnet.ca,
Shankar Chhabra,www.shankarfreight.com,info@shankarfreight.com,
Shelini Transportation Corp.,csworldcargo.com,customsclearance@csworldcargo.com,
Sifa Canada Inc.,sifalogistics.com,ca-douane@sifalogistics.com,
"SJK Global, Inc.",sjkglobalinc.com,sjkglobalinc@gmail.com,
Skyfer Logistic Inc.,skyferlogistic.com,customs@skyferlogistic.com,
Skyway International Customs Brokerage Ltd.,skywayintl.com,contact@skywayintl.com,
,,kzmurchak@skywayintl.com,
Sparkway International Inc.,sparkwayintl.com/,customs@sparkway.ca,
Sparx Logistics Canada Limited,sparxlogistics.com,Canada@sparxlogistics.com,
Speed Jet Supply Chain Solution Inc.,speedjet.ca,info@speedjet.ca,
Sterling Customs Brokers & Freight Forwarders Inc.,sterlingcustomsbrokers.com,gcarlton@sterlingcustomsbrokers.com,
Strader-Ferris International Limited,sfi.ca,info@sfi.ca,
StraitLink Global Logistics Inc.,straitlink.ca,customs@straitlink.ca,
Summit International Trade Services Inc.,summitcustomsbrokers.com,summityvr@summitcb.com,
D.B.A. Summit Customs Brokers,,,
Summit International Trade Services Inc.,allianceborderservices.com,landerson@allborders.ca,
dba Alliance Border Services,,,
Summit International Trade Services Inc.,islcustomsbrokers.com,shipment@islcb.com,
dba ISL Customs Brokers,,,
Sunbridge Global Logistics Inc.,sunbridge.ca,customs@sunbridge.ca,
Sunshine Logistics Inc.,sunshinelogistics.ca,info@sunshinelogistics.ca,
TC International Logistics Ltd.,Not applicable,customs@tcintlog.com,
TCS Total Customs Services Inc. - TCS Total Services Douaniers Inc.,totalcustoms.ca,david@totalcustoms.ca,
Tele-Freight Ltd.,telefreight.com,pars@telefreight.com,
Thanoj Mittapalli oa GTA International Customs Brokers,Not applicable,gtainternationalcustomsbrokers@gmail.com,
The Canadian Customs House Ltd.,canadiancustomshouse.ca,info@canadiancustomshouse.ca,
The Georgetown Group Limited,ecbcanada.com,info@ecbcanada.com,
The Kayo Group Inc. o/a The Eh! Team Customs Broker,ehteamcustoms.ca,hello@ehteamcustoms.ca,
The Right Way Customs Consultant and Brokerage Inc.,facebook.com/rightwaycustoms ,info@rightwaycustomsbroker.com,
Right Way Customs Brokerage,,therightwaycustoms@hotmail.com,
